Time, saveIOAvgTime, updateIoAvgTime
09:13:28,4.000,4.000
09:14:04,3.000,3.000
09:38:44,3.000,3.000
09:39:36,8.917,8.917
09:39:37,7.849,7.849
09:39:38,7.193,7.193
09:39:39,10.675,10.675
09:39:40,9.831,9.831
09:39:41,11.244,11.244
09:39:42,4.778,4.778
09:39:43,92.000,92.000
09:39:44,22.455,22.455
09:39:45,8.011,8.011
09:39:46,20.757,20.757
09:39:47,10.625,10.625
09:39:48,11.319,11.319
09:39:49,14.644,14.644
09:39:50,11.154,11.154
09:39:51,20.090,20.090
09:39:52,72.345,72.345
09:39:53,10.832,10.832
09:39:54,9.682,9.682
09:39:55,10.329,10.329
09:39:56,11.075,11.075
09:39:57,9.969,9.969
09:39:58,11.196,11.196
09:53:47,7.225,7.225
09:53:48,7.442,7.442
09:53:49,7.960,7.960
09:53:50,6.897,6.897
09:53:51,8.390,8.390
09:53:52,7.498,7.498
09:53:53,8.135,8.135
16:28:44,5.000,5.000
16:29:53,5.000,5.000
16:30:45,7.780,7.780
16:30:46,7.633,7.633
16:30:47,7.617,7.617
16:30:48,11.089,11.089
16:30:49,9.379,9.379
16:30:50,10.844,10.844
16:30:51,11.976,11.976
16:30:52,8.078,8.078
16:30:53,9.913,9.913
16:30:54,12.073,12.073
16:30:55,9.274,9.274
16:30:56,12.474,12.474
16:30:57,31.547,31.547
16:30:58,8.235,8.235
16:30:59,26.628,26.628
16:31:00,11.027,11.027
16:31:01,9.515,9.515
16:31:02,9.380,9.380
16:31:03,11.093,11.093
16:31:04,12.878,12.878
16:31:22,10.629,10.629
16:31:23,6.092,6.092
16:31:24,10.702,10.702
16:31:25,10.852,10.852
16:31:26,44.175,44.175
16:31:27,11.449,11.449
16:31:28,8.919,8.919
16:31:29,12.008,12.008
16:31:30,14.974,14.974
16:31:31,30.531,30.531
16:31:32,47.923,47.923
16:31:33,24.699,24.699
16:31:34,9.371,9.371
16:31:35,13.011,13.011
16:31:36,37.405,37.405
16:31:37,9.625,9.625
16:31:38,10.466,10.466
16:31:39,12.318,12.318
16:31:40,15.106,15.106
16:31:41,20.274,20.274
16:31:42,14.126,14.126
16:31:43,49.125,49.125
16:31:44,13.346,13.346
16:31:45,11.151,11.151
16:31:46,17.226,17.226
16:31:47,20.545,20.545
16:52:48,11.017,11.017
16:52:49,7.111,7.111
16:52:50,8.709,8.709
16:52:51,12.750,12.750
16:52:52,4.714,4.714
16:52:53,16.089,16.089
16:52:54,7.750,7.750
16:52:55,13.488,13.488
16:52:56,11.294,11.294
16:52:57,9.531,9.531
16:52:58,393.000,393.000
16:52:59,20.713,20.713
16:53:00,10.944,10.944
16:53:01,4.593,4.593
16:53:02,23.820,23.820
16:53:03,8.954,8.954
16:53:04,17.623,17.623
16:53:05,18.319,18.319
16:53:06,13.912,13.912
16:53:07,15.099,15.099
16:53:08,10.474,10.474
16:53:09,56.694,56.694
16:53:10,28.788,28.788
16:53:11,9.641,9.641
16:53:12,10.729,10.729
16:53:13,12.618,12.618
16:53:14,12.359,12.359
16:53:16,66.714,66.714
16:53:17,19.170,19.170
16:53:18,29.982,29.982
16:53:19,10.382,10.382
16:53:20,16.760,16.760
16:53:21,16.913,16.913
16:53:22,16.439,16.439
16:53:23,15.598,15.598
16:53:24,119.214,119.214
16:53:25,38.508,38.508
16:53:26,58.649,58.649
16:53:27,12.150,12.150
16:53:28,12.841,12.841
16:53:29,30.641,30.641
16:53:30,63.862,63.862
16:53:31,15.282,15.282
16:53:32,16.258,16.258
16:53:33,16.385,16.385
16:53:34,14.992,14.992
16:53:35,13.929,13.929
16:53:36,78.522,78.522
16:53:37,19.748,19.748
16:53:38,10.878,10.878
16:53:39,80.348,80.348
16:53:40,47.314,47.314
16:53:41,43.956,43.956
16:53:42,24.049,24.049
16:53:43,45.342,45.342
16:53:44,21.826,21.826
16:53:45,14.750,14.750
16:53:46,15.500,15.500
16:53:47,14.940,14.940
16:53:48,13.992,13.992
16:53:49,14.157,14.157
16:53:50,12.810,12.810
16:57:35,5.000,5.000
16:59:34,9.674,9.674
16:59:35,6.621,6.621
16:59:36,8.500,8.500
16:59:37,34.717,34.717
16:59:38,24.613,24.613
16:59:39,118.529,118.529
16:59:40,10.639,10.639
16:59:41,47.314,47.314
16:59:42,10.310,10.310
16:59:43,43.467,43.467
16:59:44,4.525,4.525
16:59:45,19.479,19.479
16:59:46,10.293,10.293
16:59:47,50.176,50.176
16:59:48,42.889,42.889
16:59:49,30.218,30.218
16:59:50,9.161,9.161
16:59:51,96.458,96.458
16:59:52,12.546,12.546
16:59:53,13.244,13.244
16:59:54,53.604,53.604
16:59:55,10.536,10.536
16:59:56,38.250,38.250
16:59:57,11.116,11.116
16:59:58,54.194,54.194
16:59:59,32.641,32.641
17:00:00,11.283,11.283
17:00:01,21.329,21.329
17:00:02,13.295,13.295
17:00:03,11.523,11.523
17:00:04,22.483,22.483
17:00:05,15.267,15.267
17:00:07,12.172,12.172
17:00:08,59.593,59.593
17:00:09,28.043,28.043
17:00:10,12.894,12.894
17:00:11,23.650,23.650
17:00:12,35.679,35.679
17:00:13,14.741,14.741
17:00:14,7.476,7.476
17:00:15,10.368,10.368
17:00:16,7.729,7.729
17:00:17,11.582,11.582
17:00:18,8.406,8.406
17:00:19,12.000,12.000
17:29:12,3.000,3.000
17:30:18,4.750,4.750
17:30:19,11.586,11.586
17:30:20,6.762,6.762
17:30:21,4.650,4.650
17:30:22,22.767,22.767
17:30:23,9.210,9.210
17:30:24,29.009,29.009
17:30:25,13.189,13.189
17:30:26,61.030,61.030
17:30:27,15.614,15.614
17:30:28,63.088,63.088
17:30:29,8.547,8.547
17:30:30,21.543,21.543
17:30:31,51.806,51.806
17:30:32,24.736,24.736
17:30:33,11.063,11.063
17:30:34,14.306,14.306
17:30:35,51.179,51.179
17:30:36,39.756,39.756
17:30:37,9.622,9.622
17:30:38,15.253,15.253
17:30:39,85.174,85.174
17:30:40,42.565,42.565
17:30:41,13.485,13.485
17:30:42,11.966,11.966
17:30:43,4.462,4.462
17:30:44,11.659,11.659
17:30:45,22.816,22.816
17:30:46,10.642,10.642
17:30:47,9.946,9.946
17:30:48,12.099,12.099
17:30:49,10.764,10.764
17:31:21,3.727,3.727
17:31:22,9.585,9.585
17:31:23,8.426,8.426
17:31:24,11.335,11.335
17:31:25,13.347,13.347
17:31:26,49.345,49.345
17:31:27,4.744,4.744
17:31:28,22.121,22.121
17:31:29,10.517,10.517
17:31:30,12.627,12.627
17:31:31,83.130,83.130
17:31:32,84.760,84.760
17:31:33,40.446,40.446
17:31:34,31.169,31.169
17:31:35,26.267,26.267
17:31:36,20.811,20.811
17:31:37,12.189,12.189
17:31:38,45.889,45.889
17:31:39,7.830,7.830
17:31:40,87.095,87.095
17:31:41,29.294,29.294
17:31:42,14.314,14.314
17:31:43,10.567,10.567
17:31:44,24.963,24.963
17:31:45,41.366,41.366
17:31:46,34.949,34.949
17:31:47,10.546,10.546
17:31:48,11.686,11.686
17:31:49,71.563,71.563
17:31:50,10.797,10.797
17:31:51,10.586,10.586
17:31:52,735.333,735.333
17:31:53,46.305,46.305
17:31:54,9.914,9.914
17:31:55,13.143,13.143
17:31:56,10.484,10.484
17:31:57,9.100,9.100
17:31:58,8.212,8.212
17:31:59,34.441,34.441
17:32:00,12.865,12.865
17:32:01,22.677,22.677
17:32:02,9.421,9.421
17:32:03,49.912,49.912
17:32:04,12.187,12.187
17:32:05,24.468,24.468
17:32:06,16.331,16.331
17:32:07,10.031,10.031
17:32:08,11.489,11.489
17:32:09,21.429,21.429
17:33:31,6.000,6.000
17:53:12,4.000,4.000
17:54:33,7.937,7.937
17:54:34,8.567,8.567
17:54:35,9.552,9.552
17:54:36,17.104,17.104
17:54:37,30.338,30.338
17:54:38,12.374,12.374
17:54:39,11.915,11.915
17:54:40,25.217,25.217
17:54:41,12.346,12.346
17:54:42,53.389,53.389
17:54:43,50.263,50.263
17:54:44,33.000,33.000
17:54:45,12.305,12.305
17:54:46,28.588,28.588
17:54:47,14.195,14.195
17:54:48,12.433,12.433
17:54:49,17.138,17.138
17:54:50,14.132,14.132
17:54:51,14.679,14.679
17:54:52,10.127,10.127
17:54:53,65.767,65.767
17:54:54,12.737,12.737
17:54:55,12.898,12.898
17:54:56,244.000,244.000
17:54:57,43.392,43.392
17:54:58,34.255,34.255
17:54:59,11.229,11.229
17:55:00,13.874,13.874
17:55:01,26.210,26.210
17:55:02,19.509,19.509
17:55:03,12.470,12.470
17:55:05,12.125,12.125
17:55:06,9.118,9.118
17:55:07,14.911,14.911
17:55:08,12.895,12.895
17:55:09,11.074,11.074
17:55:10,36.851,36.851
17:55:11,60.452,60.452
17:55:12,11.431,11.431
17:55:13,8.463,8.463
17:55:14,14.525,14.525
17:55:15,19.747,19.747
17:55:16,64.593,64.593
17:55:17,34.079,34.079
17:55:18,19.610,19.610
18:06:25,4.000,4.000
18:07:29,11.747,11.747
18:07:30,8.650,8.650
18:07:31,16.043,16.043
18:07:32,11.855,11.855
18:07:33,29.585,29.585
18:07:34,58.057,58.057
18:07:35,38.000,38.000
18:07:36,29.929,29.929
18:07:37,13.726,13.726
18:07:38,21.757,21.757
18:07:39,33.819,33.819
18:07:40,10.927,10.927
18:07:41,62.704,62.704
18:07:42,7.835,7.835
18:07:43,36.918,36.918
18:07:44,9.486,9.486
18:07:45,117.412,117.412
18:07:46,45.167,45.167
18:07:47,20.284,20.284
18:07:48,43.413,43.413
18:07:49,8.815,8.815
18:07:50,11.699,11.699
18:07:51,26.253,26.253
18:07:52,12.671,12.671
18:07:53,12.629,12.629
18:07:54,14.723,14.723
18:07:55,14.108,14.108
18:07:56,12.546,12.546
18:07:57,8.367,8.367
18:07:58,59.190,59.190
18:07:59,12.431,12.431
18:08:00,7.262,7.262
18:52:25,5.000,5.000
18:53:38,33.750,33.750
18:53:39,7.557,7.557
18:53:40,9.168,9.168
18:53:41,30.172,30.172
18:53:42,14.063,14.063
18:53:43,9.881,9.881
18:53:44,205.700,205.700
18:53:45,15.824,15.824
18:53:46,14.667,14.667
18:53:47,12.813,12.813
18:53:48,39.229,39.229
18:53:49,84.250,84.250
18:53:50,14.347,14.347
18:53:51,30.206,30.206
18:53:52,55.891,55.891
18:53:53,6.882,6.882
18:53:54,22.234,22.234
18:53:55,10.558,10.558
18:53:56,15.441,15.441
18:53:57,12.400,12.400
18:53:58,8.958,8.958
18:53:59,14.329,14.329
18:54:00,128.125,128.125
18:54:01,53.371,53.371
18:54:02,12.216,12.216
18:54:03,15.462,15.462
18:54:04,16.238,16.238
18:54:05,15.879,15.879
18:54:06,15.160,15.160
18:54:07,23.714,23.714
18:54:08,25.153,25.153
18:54:21,4.000,4.000
18:54:22,355.333,355.333
18:54:23,76.286,76.286
18:54:24,329.714,329.714
18:54:25,168.750,168.750
18:54:26,206.800,206.800
18:54:27,165.357,165.357
18:54:28,143.143,143.143
18:54:29,54.558,54.558
18:54:30,53.333,53.333
18:54:31,171.357,171.357
18:54:32,28.667,28.667
18:54:33,31.718,31.718
18:54:35,301.063,301.063
18:54:36,23.568,23.568
18:54:37,52.611,52.611
18:54:38,137.000,137.000
18:54:39,39.439,39.439
18:54:40,410.400,410.400
18:54:41,45.250,45.250
18:54:42,99.304,99.304
18:54:43,42.000,42.000
